Product Type,Product Sub-Category,Type,Period,Forecast_Qty,Model
Processed Meat,Pacific Squid,future_forecast,2014-06-01,30.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-07-01,40.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-08-01,17.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-09-01,30.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-10-01,69.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-11-01,28.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Pacific Squid,future_forecast,2014-12-01,11.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-01-01,98.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-02-01,133.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-03-01,137.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-04-01,137.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-05-01,181.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-06-01,124.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-07-01,153.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-08-01,204.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-09-01,173.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-10-01,331.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-11-01,293.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Smoked Salmon,future_forecast,2014-12-01,199.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-01-01,20.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-02-01,30.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-03-01,26.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-04-01,53.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-05-01,51.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-06-01,32.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-07-01,47.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-08-01,34.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-09-01,41.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-10-01,41.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-11-01,37.0,"SARIMAX(1,1,1)x(1,1,1,12)"
Processed Meat,Tuna,future_forecast,2014-12-01,46.0,"SARIMAX(1,1,1)x(1,1,1,12)"
